operator_address,moniker,jailed,total_delegated_tokens,outstanding_commission,outstanding_rewards,withdrawn_commission,withdrawn_rewards,total_commission,total_rewards,total_earnings
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,Tokyo,False,9356620.102903789,43769.25060678975,8.944065289560378,73744.00749976779,11561.331347596037,117513.25810655754,11570.275412885598,129083.53351944314
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,ChiangMai,False,5539465.465302975,26010.615728276498,8.941411828842563,54864.79669664266,11563.347417012817,80875.41242491917,11572.28882884166,92447.70125376082
fxvaloper1p2le22wf9mr3h7j9qgseqtvf89ek2z0tmsdhrj,dutchblue,True,406005.6558815668,80.21892413759188,1.705939129569724,0.0,0.0,80.21892413759188,1.705939129569724,81.92486326716161
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,London,False,9213999.255453736,42953.52319531255,8.941633008194053,82837.86323451425,11562.20728027377,125791.3864298268,11571.148913281964,137362.53534310876
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,RETIRING SOON wolfpack,True,1493.0911774426284,9.075576913372826e-06,0.0,63.66730417573237,0.0006472126660212001,63.66731325130928,0.0006472126660212001,63.667960463975305
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,🌖🚀Moonbase,False,3889464.875340917,1101.857888683841,2.4413294604078,11639.994676252765,45.97542853473589,12741.852564936606,48.41675799514369,12790.26932293175
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,LuckyFX,False,6499343.081026143,1951.833124210503,1.8662727700017283,7924.250690679166,26.48077236147644,9876.08381488967,28.34704513147817,9904.430860021148
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,Kigali,False,2285.4983842396396,1.0621085782265718,10.523824862029532,0.0,0.0,1.0621085782265718,10.523824862029532,11.585933440256103
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,⛄❆ FrenchﾒCore-1 ❆⛄,False,9301253.474693453,3540.811770067711,534.6396566142511,10652.413067989686,1639.9063735309421,14193.224838057398,2174.546030145193,16367.770868202591
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,🧙‍♂️ World of FX Wizards 🧙‍♀️,False,9992607.334657434,2941.3370451169394,32.68682124538109,42636.24837175537,226.2513753437814,45577.58541687231,258.9381965891625,45836.52361346147
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,Innsbruck,False,4961526.173055199,27971.568682839137,8.941153752032655,63360.959143078086,11562.992886400063,91332.52782591722,11571.934040152095,102904.46186606931
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,SmallFort,False,3777305.802530169,5861.10734122577,50.683657827224316,153.77758071586726,0.9345197925339606,6014.884921941637,51.61817761975828,6066.503099561395
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,Madrid,False,9842544.898517711,45717.37032880115,8.94390506494149,78803.51984958061,11564.010070189315,124520.89017838176,11572.953975254257,136093.84415363602
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,Blindgotchi,False,11849100.32447195,452.29732484828924,75.1321099918813,18164.158204929037,23.74234275227837,18616.455529777326,98.87445274415967,18715.329982521485
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,FxWorld,False,6451446.250380566,4546.371628766091,220.84168053265225,16388.51349372212,8012.511714524698,20934.88512248821,8233.35339505735,29168.238517545557
fxvaloper19fyfq60lyhv8nlanukfmrg5lp66s8q20vx3jj5,Dapp.com,False,3481583.1753289658,28.907785234089335,3.6506006795666917,8871.714607657048,15.073448452269568,8900.622392891137,18.72404913183626,8919.346442022974
fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,Asosiasi Blockchain Indonesia,False,11285869.061900262,215.12316995637067,38.20457282255751,19122.41515563326,24.49283837899226,19337.538325589634,62.69741120154977,19400.235736791183
fxvaloper1xrzyg8w0ccm07z80cm5zxkcclfylcujneaxtuy,Istanbul,False,10161733.999370525,47813.458157835805,8.94780852926365,82344.31436825715,11561.930992572488,130157.77252609296,11570.878801101751,141728.6513271947
fxvaloper18p4q7fzj76x2s4p3upzkzxvqsyecfz2yx2y4x9,Jakarta,False,1544688.061256606,7208.583870226751,8.944974386049637,59493.95663801429,11559.725564012082,66702.54050824104,11568.670538398132,78271.21104663918
fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,Lagos,False,1823.1029291101788,0.7302600654056374,9.331720671139617,0.0,0.0,0.7302600654056374,9.331720671139617,10.061980736545255
fxvaloper1886ndwvun7gs2cqqe6k5vg9uddmvqgsz2vvsn8,Scale Moment Group,False,4834414.545176511,1254.6278647680729,12.47933536997913,3974.580191580226,1.2459993522680317,5229.208056348299,13.725334722247162,5242.933391070545
fxvaloper1fxhwgkxphr6adkp84ka9cddqk8l8axr4j4egdl,Taipei,False,9488272.900659475,44322.96128521137,8.942060728165359,85408.0460425543,11549.524653469403,129731.00732776566,11558.466714197568,141289.47404196323
fxvaloper1fxlpxnlrgquwaes5wrt5awdaymv5wpntfgsct8,Montreal,False,9549802.212378006,44838.92119966656,8.941695651418385,74278.01178104928,11564.415172592267,119116.93298071585,11573.356868243685,130690.28984895954
